Training neural network with 2000000 games
Training neural network against 2000000 random games...
Games: 650000, Wins: 8708 (87.1%), Losses: 0 (0.0%), Ties: 1292 (12.9%)
Games: 660000, Wins: 8671 (86.7%), Losses: 0 (0.0%), Ties: 1329 (13.3%)
Games: 670000, Wins: 8626 (86.3%), Losses: 0 (0.0%), Ties: 1374 (13.7%)
Games: 680000, Wins: 8714 (87.1%), Losses: 0 (0.0%), Ties: 1286 (12.9%)
Games: 690000, Wins: 8652 (86.5%), Losses: 0 (0.0%), Ties: 1348 (13.5%)
Games: 700000, Wins: 8680 (86.8%), Losses: 0 (0.0%), Ties: 1320 (13.2%)
Games: 710000, Wins: 8638 (86.4%), Losses: 0 (0.0%), Ties: 1362 (13.6%)
Games: 720000, Wins: 8630 (86.3%), Losses: 0 (0.0%), Ties: 1370 (13.7%)
Games: 730000, Wins: 8722 (87.2%), Losses: 0 (0.0%), Ties: 1278 (12.8%)
Games: 740000, Wins: 8683 (86.8%), Losses: 0 (0.0%), Ties: 1317 (13.2%)
Games: 750000, Wins: 8664 (86.6%), Losses: 0 (0.0%), Ties: 1336 (13.4%)
Games: 760000, Wins: 8686 (86.9%), Losses: 0 (0.0%), Ties: 1314 (13.1%)
Games: 770000, Wins: 8686 (86.9%), Losses: 0 (0.0%), Ties: 1314 (13.1%)
Games: 780000, Wins: 8730 (87.3%), Losses: 0 (0.0%), Ties: 1270 (12.7%)
Games: 790000, Wins: 8690 (86.9%), Losses: 0 (0.0%), Ties: 1310 (13.1%)
Games: 800000, Wins: 8653 (86.5%), Losses: 0 (0.0%), Ties: 1347 (13.5%)
Games: 810000, Wins: 8655 (86.5%), Losses: 0 (0.0%), Ties: 1345 (13.4%)
Games: 820000, Wins: 8645 (86.4%), Losses: 0 (0.0%), Ties: 1355 (13.5%)
Games: 830000, Wins: 8672 (86.7%), Losses: 0 (0.0%), Ties: 1328 (13.3%)
Games: 840000, Wins: 8726 (87.3%), Losses: 0 (0.0%), Ties: 1274 (12.7%)
Games: 850000, Wins: 8710 (87.1%), Losses: 0 (0.0%), Ties: 1290 (12.9%)
Games: 860000, Wins: 8629 (86.3%), Losses: 0 (0.0%), Ties: 1371 (13.7%)
Games: 870000, Wins: 8653 (86.5%), Losses: 0 (0.0%), Ties: 1347 (13.5%)
Games: 880000, Wins: 8696 (87.0%), Losses: 0 (0.0%), Ties: 1304 (13.0%)
Games: 890000, Wins: 8616 (86.2%), Losses: 0 (0.0%), Ties: 1384 (13.8%)
Games: 900000, Wins: 8655 (86.5%), Losses: 0 (0.0%), Ties: 1345 (13.4%)
Games: 910000, Wins: 8693 (86.9%), Losses: 0 (0.0%), Ties: 1307 (13.1%)
Games: 920000, Wins: 8707 (87.1%), Losses: 0 (0.0%), Ties: 1293 (12.9%)
Games: 930000, Wins: 8625 (86.2%), Losses: 0 (0.0%), Ties: 1375 (13.8%)
Games: 940000, Wins: 8717 (87.2%), Losses: 0 (0.0%), Ties: 1283 (12.8%)
